Governorate,nombre2016,pprpoptotal2016,nombre2017,pprpoptotal2017,nombre2018,pprpoptotal2018
Tunis,166960,9,1069663,9,1071375,9
Ariana,601510,5,628063,5,642511,6
Ben arous,661770,6,677775,6,691113,6
Manubah,195478,3,402755,4,410104,4
Nabeul,808151,7,831181,7,843220,7
Zaghouan,81015,2,184258,2,186210,2
Bizerte,581841,5,585452,5,589342,5
Beja,115771,3,306454,3,306913,3
Jendouba,411711,4,403999,4,403930,3
Le kef,146111,2,246510,2,246602,2
Siliana,116071,2,226998,2,227264,2
Sousse,711646,6,715744,6,726867,6
Monastir,570085,5,580760,5,589683,5
Mahdia,414811,4,430471,4,435296,4
Sfax,981169,9,994271,9,1004042,9
Kairouan,580181,5,585860,5,589481,5
Kasserine,448111,4,452001,4,455193,4
Sidi bouzid,440010,4,445478,4,449026,4
Gabes,186011,3,391143,3,395755,3
Mednine,495154,4,501792,4,507673,4
Tataouine,51111,1,150532,1,150761,1
Gafsa,144410,3,347225,3,349385,3
Tozeur,145,1,112327,1,113444,1
Kebili,61107,1,164279,1,166260,1
