Governorate,Poverty,Type,Niveau bas,Niveau élevé,pauvreté,type,Absolue
Tunis,"3,5","0,5748","2,4","4,6","4,6","0,3601","1,1"
Ariana,"5,4","0,6976","4,0","6,8","7,0","1,0237","1,6"
Ben Arous,"4,3","0,5946","3,1","5,4","5,6","0,2877","1,4"
Manubah,"12,1","1,3788","9,4","14,8","9,8","0,6971","2,3"
Nabeul,"7,4","0,8000","5,8","9,0","8,1","0,5165","0,7"
Zaghouan,"12,1","1,3110","9,6","14,7","13,7","0,6048","1,6"
Bizerte,"17,5","1,1201","15,3","19,7","16,9","0,5354","0,5"
Beja,"32,0","1,8484","28,4","35,6","26,4","0,6409","5,6"
Jendouba,"22,4","1,2146","20,0","24,8","21,5","0,8575","0,9"
Le Kef,"34,2","1,4593","31,4","37,1","33,1","0,8427","1,1"
Siliana,"27,7","1,7865","24,2","31,2","24,7","1,0065","3,1"
Sousse,"16,2","1,0952","14,0","18,3","14,3","1,1083","1,8"
Monastir,"8,3","1,1492","6,1","10,6","7,7","0,4255","0,6"
Mahdia,"21,1","1,6820","17,8","24,4","25,0","0,6852","3,9"
Sfax,"5,8","0,6610","4,5","7,1","6,3","0,4000","0,6"
Kairouan,"34,9","1,3303","32,3","37,5","29,3","0,3536","5,6"
Kasserine,"32,8","1,3052","30,2","35,4","33,6","0,2965","0,8"
Sidi Bou Zid,"23,1","1,1747","20,8","25,4","25,0","0,5792","1,9"
Gabes,"15,8","1,0379","13,8","17,9","16,9","0,6712","1,1"
Mednine,"21,6","1,1786","19,3","23,9","18,5","0,7330","3,1"
Tataouine,"15,0","0,9954","13,0","16,9","17,8","0,8153","2,8"
Gafsa,"18,0","1,0846","15,9","20,1","19,0","0,8616","0,9"
Tozeur,"14,6","0,9823","12,6","16,5","14,6","0,7464","0,0"
Kebili,"18,5","1,0809","16,4","20,7","19,2","0,3000","0,6"
